app_id, app_name, current_rank, app_seller, sellerAppPreview, sellerWebsite
529479190,Clash of Clans,#6 in Strategy,Supercell Oy,https://supercell.helpshift.com/a/clash-of-clans/,https://itunes.apple.com/us/developer/supercell/id488106216?mt=8
281796108,Evernote - stay organized,#76 in Productivity,Evernote,http://evernote.com,https://itunes.apple.com/us/developer/evernote/id281796111?mt=8
282935706,Bible,#2 in Reference,Life.Church,https://www.bible.com/about,https://itunes.apple.com/us/developer/life-church/id282935709?mt=8
298867247,Chase Mobile℠,#6 in Finance,JPMorgan Chase Bank, NA,https://www.chase.com/online/services/mobile-banking.htm,https://itunes.apple.com/us/developer/jpmorgan-chase-co/id298867250?mt=8
284815942,Google – Search made just for mobile,#2 in Utilities,Google LLC,http://www.google.com/search/about,https://itunes.apple.com/us/developer/google-llc/id281956209?mt=8
293622097,Google Earth,#8 in Travel,Google LLC,https://www.google.com/earth/,https://itunes.apple.com/us/developer/google-llc/id281956209?mt=8
309735670,Indeed Job Search,#1 in Business,Indeed Inc.,http://www.indeed.com,https://itunes.apple.com/us/developer/indeed-inc/id309735673?mt=8
324684580,Spotify Music,#1 in Music,Spotify,https://www.spotify.com/,https://itunes.apple.com/us/developer/spotify-ltd/id324684583?mt=8
341232718,Calorie Counter & Diet Tracker by MyFitnessPal,#6 in Health & Fitness,MyFitnessPal LLc,http://www.myfitnesspal.com/,https://itunes.apple.com/us/developer/myfitnesspal-com/id341232721?mt=8
322439990,MyRadar NOAA Weather Radar Forecast,#3 in Weather,Aviation Data Systems, Inc,https://myradar.com,https://itunes.apple.com/us/developer/aviation-data-systems-inc/id294802544?mt=8
429047995,Pinterest,#6 in Social Networking,Pinterest, Inc.,http://www.pinterest.com,https://itunes.apple.com/us/developer/pinterest/id328135727?mt=8
363590051,Netflix,#1 in Entertainment,Netflix, Inc.,http://www.netflix.com,https://itunes.apple.com/us/developer/netflix-inc/id363590054?mt=8
389801252,Instagram,#2 in Photo & Video,Instagram, Inc.,http://instagram.com/,https://itunes.apple.com/us/developer/instagram-inc/id389801255?mt=8
585027354,Google Maps - Navigation & Transit,#1 in Navigation,Google LLC,http://maps.google.com/about,https://itunes.apple.com/us/developer/google-llc/id281956209?mt=8
328415391,Yahoo Fantasy Sports,#82 in Sports,Yahoo! Inc.,http://sports.yahoo.com/fantasy/,https://itunes.apple.com/us/developer/yahoo/id281970157?mt=8
875063456,Elevate - Brain Training and Games,#17 in Education,Elevate Labs, LLC,https://www.elevateapp.com/#/,https://itunes.apple.com/us/developer/elevate-inc/id875063459?mt=8
547702041,Tinder,#2 in Lifestyle,Tinder Inc.,http://www.gotinder.com/,https://itunes.apple.com/us/developer/tinder-inc/id725634363?mt=8
331177714,Starbucks,#3 in Food & Drink,Starbucks Coffee Company,http://www.starbucks.com/coffeehouse/mobile-apps/mystarbucks,https://itunes.apple.com/us/developer/starbucks-coffee-company/id331177718?mt=8
530621395,Wish - Shopping Made Fun,#4 in Shopping,ContextLogic Inc.,https://www.wish.com/m/mobile-ios-app,https://itunes.apple.com/us/developer/contextlogic-inc/id530621398?mt=8
333903271,Twitter,#1 in News,Twitter, Inc.,http://twitter.com/download/iphone,https://itunes.apple.com/us/developer/twitter-inc/id296415947?mt=8
1024818709,HOOKED - Chat Stories,#2 in Books,Telepathic Inc.,http://www.hooked.co/contact/,https://itunes.apple.com/us/developer/telepathic-inc/id997494868?mt=8
596684220,Essential Anatomy 5,#5 in Medical,3D4Medical.com,http://applications.3d4medical.com/essential_anatomy_5,https://itunes.apple.com/us/developer/3d4medical-com-llc/id315902958?mt=8
